,키워드,"PC
 검색량","MB
 검색량","전체
 검색량",속성,"지식인
글개수
","카페
 글개수","인플
 글개수","블로그
 글개수",1탭,2탭,3탭,4탭,5탭,6탭,7탭,8탭,9탭,10탭,접촉지점,"탭순서
갱신일",파워링크,브랜드컨텐츠,가격비교,네플스,클립,,관련문서,,,,,,,,,,인기글7,,인기글3,,스마트블록,뉴스,,웹문서,,동영상,,이미지,확인일,자리상단하단
고유번호,,,,,,,,,,,,,,,,,,,,,,,,,,클립(본문),클립(댓글),카페(본문),카페(댓글1),댓글 2,댓글 3,블로그(본문),블로그(댓글),지식인(본문),지식인(댓글),지식인(댓글2),지식인(댓글3),본문,댓글,본문,댓글,,본문,댓글,본문,댓글,본문,댓글,,,
2,70대아빠선물,10,30,40,-,0,4,0,4,네이버플러스 스토어,선물샵,인기글,파워링크,네이버 클립,이미지,웹문서,,,,5,260728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,80대할머니선물,290,"1,530","1,820",-,0,6,0,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,네이버 클립,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,80대할머니생신선물,20,160,180,-,1,8,2,9,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,네이버 클립,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,부모님어버이날선물,5,5,10,-,0,6,0,6,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,육아 주제 네이버 메이트,동영상,관련문서,관련문서,뉴스,이미지,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,허리협착증에좋은운동,70,"1,020","1,090",-,3,5,3,5,파워링크,브랜드 콘텐츠,관련문서,네이버 클립,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,웹문서,,4,,,유료마킹필,,,,,,,,,,,,노출성공,노출성공,,,,,,,,,,,,,,,
7,허리온열기,20,70,90,-,0,2,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,상품리뷰 인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,충전식찜질기,30,50,80,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,허리디스크파열,120,"1,040","1,160",-,3,4,3,6,파워링크,브랜드 콘텐츠,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,뉴스,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,허리아플때,300,"2,360","2,660",-,3,8,3,2,파워링크,건강·의학 브랜드 콘텐츠,네이버 클립,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,웹문서,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,허리디스크 찜질,,420,460,-,2,6,2,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,4,,,,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
12,허리온열찜질기,130,830,960,-,0,2,2,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,상품리뷰 인기글,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,허리염좌,270,"1,830","2,100",-,5,4,5,4,파워링크,AI 브리핑,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,이미지,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
